scientific_name,common_name,redlist_category,percent_diff
Negaprion brevirostris,Lemon shark,VU,71.978
Galeocerdo cuvier,Tiger shark,NT,71.959
Carcharhinus leucas,Bull shark,VU,69.4389
Centrophorus squamosus,Leafscale gulper shark,EN,66.196
Prionace glauca,Blue shark,NT,65.9288
Carcharhinus plumbeus,Sandbar shark,EN,62.1636
Mitsukurina owstoni,Goblin shark,LC,60.6827
Pseudocarcharias kamoharai,Crocodile shark,LC,58.3847
Hexanchus griseus,Bluntnose sixgill shark,NT,57.8097
Carcharhinus longimanus,Oceanic whitetip shark,CR,57.1067
Sphyrna mokarran,Great hammerhead,CR,18.7345
Orectolobus wardi,Northern wobbegong,LC,18.6951
Sutorectus tentaculatus,Cobbler wobbegong,LC,18.6951
Rhizoprionodon acutus,Milk shark,VU,16.6804
Loxodon macrorhinus,Sliteye shark,NT,15.0797
Carcharhinus limbatus,Blacktip shark,VU,10.4354
Carcharhinus sorrah,Spottail shark,NT,8.9197
Carcharhinus brevipinna,Spinner shark,VU,5.8941
Carcharhinus dussumieri,Whitecheek shark,EN,0
Galeorhinus galeus,Tope shark,CR,0
